#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
2.8490000000e+00	2.2054002482e+04	6.2903453758e+00                 	3.2229881948e+00                 	3.0673571810e+00                 	5.1237062549e-01                 	9.9591633755e-01                 
2.8650000000e+00	2.1930838769e+04	6.2903107119e+00                 	3.2550782269e+00                 	3.0352324850e+00                 	5.1747495092e-01                 	9.9335813637e-01                 
2.8820000000e+00	2.1801475736e+04	6.2904272759e+00                 	3.3047906381e+00                 	2.9856366379e+00                 	5.2536822907e-01                 	9.8814073960e-01                 
2.8990000000e+00	2.1673629897e+04	6.2905710994e+00                 	3.3572819465e+00                 	2.9332891528e+00                 	5.3370065985e-01                 	9.8103168029e-01                 
2.9150000000e+00	2.1554666577e+04	6.2907149131e+00                 	3.4051530369e+00                 	2.8855618762e+00                 	5.4129826004e-01                 	9.7268643925e-01                 
2.9330000000e+00	2.1422384273e+04	6.2908467958e+00                 	3.4399994232e+00                 	2.8508473726e+00                 	5.4682613246e-01                 	9.6490090644e-01                 
2.9500000000e+00	2.1298933245e+04	6.2909353885e+00                 	3.4574971966e+00                 	2.8334381919e+00                 	5.4959985806e-01                 	9.6020373237e-01                 
2.9670000000e+00	2.1176896890e+04	6.2910121619e+00                 	3.4782022961e+00                 	2.8128098658e+00                 	5.5288437005e-01                 	9.5501638661e-01                 
2.9850000000e+00	2.1049197009e+04	6.2910901493e+00                 	3.5045866140e+00                 	2.7865035353e+00                 	5.5707143450e-01                 	9.4848583053e-01                 
3.0030000000e+00	2.0923027996e+04	6.2911719514e+00                 	3.5365862950e+00                 	2.7545856564e+00                 	5.6215063303e-01                 	9.4031795886e-01                 
3.0210000000e+00	2.0798362487e+04	6.2912560947e+00                 	3.5689951299e+00                 	2.7222609648e+00                 	5.6729452373e-01                 	9.3146746775e-01                 
3.0400000000e+00	2.0668372721e+04	6.2913465923e+00                 	3.6022130428e+00                 	2.6891335495e+00                 	5.7256630039e-01                 	9.2173858456e-01                 
3.0580000000e+00	2.0546714543e+04	6.2914369498e+00                 	3.6311228015e+00                 	2.6603141483e+00                 	5.7715317350e-01                 	9.1232804455e-01                 
3.0770000000e+00	2.0419841752e+04	6.2915142867e+00                 	3.6333677481e+00                 	2.6581465386e+00                 	5.7750290034e-01                 	9.0898207526e-01                 
3.0960000000e+00	2.0294526186e+04	6.2915709083e+00                 	3.6192745752e+00                 	2.6722963331e+00                 	5.7525769445e-01                 	9.1025987841e-01                 
3.1150000000e+00	2.0170739349e+04	6.2916133217e+00                 	3.6001794723e+00                 	2.6914338493e+00                 	5.7221880753e-01                 	9.1356740141e-01                 
3.1350000000e+00	2.0042058396e+04	6.2916555038e+00                 	3.5887265963e+00                 	2.7029289075e+00                 	5.7039464321e-01                 	9.1541426276e-01                 
3.1550000000e+00	1.9915008898e+04	6.2916960972e+00                 	3.5792159941e+00                 	2.7124801031e+00                 	5.6887935126e-01                 	9.1694098214e-01                 
3.1750000000e+00	1.9789560023e+04	6.2917328403e+00                 	3.5662528571e+00                 	2.7254799832e+00                 	5.6681568459e-01                 	9.1953880639e-01                 
3.1950000000e+00	1.9665681713e+04	6.2917659231e+00                 	3.5488201291e+00                 	2.7429457940e+00                 	5.6404198320e-01                 	9.2356714991e-01                 
3.2150000000e+00	1.9543344657e+04	6.2917978817e+00                 	3.5300847822e+00                 	2.7617130995e+00                 	5.6106137682e-01                 	9.2820479925e-01                 
3.2360000000e+00	1.9416518255e+04	6.2918325886e+00                 	3.5140385390e+00                 	2.7777940496e+00                 	5.5850795289e-01                 	9.3229264099e-01                 
3.2570000000e+00	1.9291327317e+04	6.2918689388e+00                 	3.5018238083e+00                 	2.7900451305e+00                 	5.5656337447e-01                 	9.3541711130e-01                 
3.2790000000e+00	1.9161894807e+04	6.2919077299e+00                 	3.4875458946e+00                 	2.8043618353e+00                 	5.5429069279e-01                 	9.3910106213e-01                 
3.3000000000e+00	1.9039955476e+04	6.2919443694e+00                 	3.4769580122e+00                 	2.8149863572e+00                 	5.5260469707e-01                 	9.4187242256e-01                 
3.3220000000e+00	1.8913863056e+04	6.2919840593e+00                 	3.4679690326e+00                 	2.8240150268e+00                 	5.5117257130e-01                 	9.4420383572e-01                 
