#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
1.0530000000e+01	5.9669376137e+03	6.3010359740e+00                 	3.2817920892e+00                 	3.0192438847e+00                 	5.2083373318e-01                 	9.8862187582e-01                 
1.0640000000e+01	5.9052493489e+03	6.3009262588e+00                 	3.2937285372e+00                 	3.0071977216e+00                 	5.2273719798e-01                 	9.8725649565e-01                 
1.0750000000e+01	5.8448235416e+03	6.3009675326e+00                 	3.3172687803e+00                 	2.9836987523e+00                 	5.2646974661e-01                 	9.8401395060e-01                 
1.0870000000e+01	5.7802992706e+03	6.3011492418e+00                 	3.3451618859e+00                 	2.9559873560e+00                 	5.3088123412e-01                 	9.7963616502e-01                 
1.1000000000e+01	5.7119866429e+03	6.3014359420e+00                 	3.3793066371e+00                 	2.9221293048e+00                 	5.3627564705e-01                 	9.7351329444e-01                 
1.1110000000e+01	5.6554323197e+03	6.3017001794e+00                 	3.4029085815e+00                 	2.8987915979e+00                 	5.3999849003e-01                 	9.6867623640e-01                 
1.1360000000e+01	5.5309729817e+03	6.3022504368e+00                 	3.4462131192e+00                 	2.8560373176e+00                 	5.4682262372e-01                 	9.5879462351e-01                 
1.1630000000e+01	5.4025669021e+03	6.3027651400e+00                 	3.4733036317e+00                 	2.8294615083e+00                 	5.5107616332e-01                 	9.5160695472e-01                 
1.1900000000e+01	5.2799876531e+03	6.3032390658e+00                 	3.4970364647e+00                 	2.8062026011e+00                 	5.5479990973e-01                 	9.4502800733e-01                 
1.2200000000e+01	5.1501518911e+03	6.3037223645e+00                 	3.5134105201e+00                 	2.7903118444e+00                 	5.5735489556e-01                 	9.3993108765e-01                 
1.2500000000e+01	5.0265482457e+03	6.3041721039e+00                 	3.5251585147e+00                 	2.7790135892e+00                 	5.5917866083e-01                 	9.3601271392e-01                 
1.2820000000e+01	4.9010805828e+03	6.3046133835e+00                 	3.5297508885e+00                 	2.7748624949e+00                 	5.5986793699e-01                 	9.3390661156e-01                 
1.2990000000e+01	4.8369401903e+03	6.3048356624e+00                 	3.5307329962e+00                 	2.7741026662e+00                 	5.6000396922e-01                 	9.3323743071e-01                 
1.3160000000e+01	4.7744569203e+03	6.3050525261e+00                 	3.5315461303e+00                 	2.7735063958e+00                 	5.6011367323e-01                 	9.3266279012e-01                 
1.3330000000e+01	4.7135673722e+03	6.3052607400e+00                 	3.5299050111e+00                 	2.7753557289e+00                 	5.5983489925e-01                 	9.3274851099e-01                 
1.3510000000e+01	4.6507663266e+03	6.3054751826e+00                 	3.5283885981e+00                 	2.7770865845e+00                 	5.5957536837e-01                 	9.3287121542e-01                 
1.3700000000e+01	4.5862666476e+03	6.3056985233e+00                 	3.5268858753e+00                 	2.7788126480e+00                 	5.5931723699e-01                 	9.3301559496e-01                 
1.3890000000e+01	4.5235315386e+03	6.3059190144e+00                 	3.5250993573e+00                 	2.7808196571e+00                 	5.5901437194e-01                 	9.3326123959e-01                 
1.4080000000e+01	4.4624895648e+03	6.3061353325e+00                 	3.5221501432e+00                 	2.7839851893e+00                 	5.5852752240e-01                 	9.3383736338e-01                 
1.4290000000e+01	4.3969106418e+03	6.3063700316e+00                 	3.5181108327e+00                 	2.7882591989e+00                 	5.5786622337e-01                 	9.3472632210e-01                 
1.4710000000e+01	4.2713700253e+03	6.3068266017e+00                 	3.5063869645e+00                 	2.8004396372e+00                 	5.5596692059e-01                 	9.3758675841e-01                 
1.5150000000e+01	4.1473170344e+03	6.3072941206e+00                 	3.4945812985e+00                 	2.8127128221e+00                 	5.5405396224e-01                 	9.4061787408e-01                 
1.5380000000e+01	4.0852960385e+03	6.3075353547e+00                 	3.4891488793e+00                 	2.8183864754e+00                 	5.5317151361e-01                 	9.4204225403e-01                 
1.5630000000e+01	4.0199522119e+03	6.3077963479e+00                 	3.4841991675e+00                 	2.8235971805e+00                 	5.5236392795e-01                 	9.4335105389e-01                 
1.6130000000e+01	3.8953411700e+03	6.3083150333e+00                 	3.4767533039e+00                 	2.8315617294e+00                 	5.5113818596e-01                 	9.4534297809e-01                 
1.6390000000e+01	3.8335480825e+03	6.3085812523e+00                 	3.4742327434e+00                 	2.8343485088e+00                 	5.5071538346e-01                 	9.4604096608e-01                 
1.6670000000e+01	3.7691573528e+03	6.3088694777e+00                 	3.4737665469e+00                 	2.8351029308e+00                 	5.5061632820e-01                 	9.4620625726e-01                 
1.6950000000e+01	3.7068939865e+03	6.3091621367e+00                 	3.4734503625e+00                 	2.8357117742e+00                 	5.5054067201e-01                 	9.4630794834e-01                 
1.7240000000e+01	3.6445390413e+03	6.3094641076e+00                 	3.4721811536e+00                 	2.8372829540e+00                 	5.5031316359e-01                 	9.4665444464e-01                 
1.8180000000e+01	3.4560975287e+03	6.3104255249e+00                 	3.4623845133e+00                 	2.8480410117e+00                 	5.4867686808e-01                 	9.4927312358e-01                 
1.8870000000e+01	3.3297219434e+03	6.3111063753e+00                 	3.4548693700e+00                 	2.8562370053e+00                 	5.4742689546e-01                 	9.5131088395e-01                 
1.9230000000e+01	3.2673870552e+03	6.3114502985e+00                 	3.4535800904e+00                 	2.8578702081e+00                 	5.4719278883e-01                 	9.5171503391e-01                 
1.9610000000e+01	3.2040720587e+03	6.3118234639e+00                 	3.4548576293e+00                 	2.8569658345e+00                 	5.4736284199e-01                 	9.5144813382e-01                 
2.0000000000e+01	3.1415926536e+03	6.3122141747e+00                 	3.4553467797e+00                 	2.8568673950e+00                 	5.4740645423e-01                 	9.5136500189e-01                 
2.0410000000e+01	3.0784837370e+03	6.3126253328e+00                 	3.4532928136e+00                 	2.8593325192e+00                 	5.4704542588e-01                 	9.5193047140e-01                 
2.0830000000e+01	3.0164115733e+03	6.3130393610e+00                 	3.4491400427e+00                 	2.8638993182e+00                 	5.4635174051e-01                 	9.5303955777e-01                 
2.2220000000e+01	2.8277161598e+03	6.3143696467e+00                 	3.4352568284e+00                 	2.8791128183e+00                 	5.4403796746e-01                 	9.5673725532e-01                 
2.2600000000e+01	2.7801704899e+03	6.3147233765e+00                 	3.4309469597e+00                 	2.8837764169e+00                 	5.4332498117e-01                 	9.5786630137e-01                 
2.3050000000e+01	2.7258938426e+03	6.3151373990e+00                 	3.4269346019e+00                 	2.8882027971e+00                 	5.4265400503e-01                 	9.5892527870e-01                 
2.3600000000e+01	2.6623666556e+03	6.3156370069e+00                 	3.4222311754e+00                 	2.8934058315e+00                 	5.4186635040e-01                 	9.6016096444e-01                 
2.4600000000e+01	2.5541403688e+03	6.3165306684e+00                 	3.4143627225e+00                 	2.9021679459e+00                 	5.4054399508e-01                 	9.6221546996e-01                 
2.5000000000e+01	2.5132741229e+03	6.3168820410e+00                 	3.4112745826e+00                 	2.9056074584e+00                 	5.4002505673e-01                 	9.6301430328e-01                 
2.6000000000e+01	2.4166097335e+03	6.3177432361e+00                 	3.4036806559e+00                 	2.9140625802e+00                 	5.3874944402e-01                 	9.6495989592e-01                 
2.8570000000e+01	2.1992248188e+03	6.3198208960e+00                 	3.3867424835e+00                 	2.9330784125e+00                 	5.3589216201e-01                 	9.6923924117e-01                 
3.1000000000e+01	2.0268339701e+03	6.3215892962e+00                 	3.3720729519e+00                 	2.9495163444e+00                 	5.3342170677e-01                 	9.7285444823e-01                 
3.3330000000e+01	1.8851441066e+03	6.3229378571e+00                 	3.3575630864e+00                 	2.9653747707e+00                 	5.3101314013e-01                 	9.7637403132e-01                 
3.4480000000e+01	1.8222695206e+03	6.3233108222e+00                 	3.3550817153e+00                 	2.9682291069e+00                 	5.3058940319e-01                 	9.7729196178e-01                 
3.5640000000e+01	1.7629588404e+03	6.3236607849e+00                 	3.3657202491e+00                 	2.9579405358e+00                 	5.3224237726e-01                 	9.7579092365e-01                 
3.7000000000e+01	1.6981581911e+03	6.3243242176e+00                 	3.3872756862e+00                 	2.9370485313e+00                 	5.3559488251e-01                 	9.7220762475e-01                 
3.8240000000e+01	1.6430923920e+03	6.3251756925e+00                 	3.4183486585e+00                 	2.9068270340e+00                 	5.4043536886e-01                 	9.6647721749e-01                 
3.9600000000e+01	1.5866629564e+03	6.3263446235e+00                 	3.4544067849e+00                 	2.8719378386e+00                 	5.4603518943e-01                 	9.5923590784e-01                 
4.1140000000e+01	1.5272691559e+03	6.3277943818e+00                 	3.4982787982e+00                 	2.8295155836e+00                 	5.5284331113e-01                 	9.4983259176e-01                 
4.2760000000e+01	1.4694072281e+03	6.3294221885e+00                 	3.5505961245e+00                 	2.7788260640e+00                 	5.6096686534e-01                 	9.3802087245e-01                 
4.3580000000e+01	1.4417589048e+03	6.3304677027e+00                 	3.5933953842e+00                 	2.7370723186e+00                 	5.6763505525e-01                 	9.2777057924e-01                 
4.4580000000e+01	1.4094179693e+03	6.3316714518e+00                 	3.6269754456e+00                 	2.7046960061e+00                 	5.7283064563e-01                 	9.1903939108e-01                 
4.5500000000e+01	1.3809198477e+03	6.3328893707e+00                 	3.6705237920e+00                 	2.6623655788e+00                 	5.7959701758e-01                 	9.0776960765e-01                 
4.6150000000e+01	1.3614702724e+03	6.3338538798e+00                 	3.7034747248e+00                 	2.6303791550e+00                 	5.8471110876e-01                 	8.9870802350e-01                 
4.6710000000e+01	1.3451477857e+03	6.3346829785e+00                 	3.7236846651e+00                 	2.6109983134e+00                 	5.8782494369e-01                 	8.9235624875e-01                 
4.7360000000e+01	1.3266860868e+03	6.3353428024e+00                 	3.7159364764e+00                 	2.6194063260e+00                 	5.8654071174e-01                 	8.9262990538e-01                 
4.8000000000e+01	1.3089969390e+03	6.3357769186e+00                 	3.6961095188e+00                 	2.6396673998e+00                 	5.8337115815e-01                 	8.9656344674e-01                 
4.8780000000e+01	1.2880658686e+03	6.3361923005e+00                 	3.6704378149e+00                 	2.6657544856e+00                 	5.7928131610e-01                 	9.0254232856e-01                 
5.0030000000e+01	1.2558835313e+03	6.3370602105e+00                 	3.6633576162e+00                 	2.6737025943e+00                 	5.7808471034e-01                 	9.0419942526e-01                 
5.1280000000e+01	1.2252701457e+03	6.3380045395e+00                 	3.6647896207e+00                 	2.6732149188e+00                 	5.7822451812e-01                 	9.0355406116e-01                 
5.2750000000e+01	1.1911251767e+03	6.3391156812e+00                 	3.6675828273e+00                 	2.6715328540e+00                 	5.7856379528e-01                 	9.0240742113e-01                 
5.3500000000e+01	1.1744271602e+03	6.3396609301e+00                 	3.6672356436e+00                 	2.6724252866e+00                 	5.7845927156e-01                 	9.0223046391e-01                 
5.4240000000e+01	1.1584043708e+03	6.3402143991e+00                 	3.6696803643e+00                 	2.6705340349e+00                 	5.7879436455e-01                 	9.0130793363e-01                 
5.5000000000e+01	1.1423973286e+03	6.3406679055e+00                 	3.6589597894e+00                 	2.6817081162e+00                 	5.7706220289e-01                 	9.0368645367e-01                 
5.5740000000e+01	1.1272309485e+03	6.3410763342e+00                 	3.6450161096e+00                 	2.6960602246e+00                 	5.7482608905e-01                 	9.0714581542e-01                 
5.6400000000e+01	1.1140399481e+03	6.3414155679e+00                 	3.6287214341e+00                 	2.7126941338e+00                 	5.7222577439e-01                 	9.1133034916e-01                 
5.7000000000e+01	1.1023132118e+03	6.3417038657e+00                 	3.6104188059e+00                 	2.7312850598e+00                 	5.6931368641e-01                 	9.1615561322e-01                 
5.7460000000e+01	1.0934885672e+03	6.3418813418e+00                 	3.5902509190e+00                 	2.7516304228e+00                 	5.6611764326e-01                 	9.2156677428e-01                 
5.8400000000e+01	1.0758878951e+03	6.3423374964e+00                 	3.5771768061e+00                 	2.7651606903e+00                 	5.6401552395e-01                 	9.2566071935e-01                 
5.9290000000e+01	1.0597377816e+03	6.3428544270e+00                 	3.5789740704e+00                 	2.7638803565e+00                 	5.6425291036e-01                 	9.2575150175e-01                 
6.0000000000e+01	1.0471975512e+03	6.3433387282e+00                 	3.5897614895e+00                 	2.7535772387e+00                 	5.6591042089e-01                 	9.2344664047e-01                 
6.1000000000e+01	1.0300303782e+03	6.3442132583e+00                 	3.6189285935e+00                 	2.7252846648e+00                 	5.7042984625e-01                 	9.1641142422e-01                 
6.1250000000e+01	1.0258261726e+03	6.3444945458e+00                 	3.6301437190e+00                 	2.7143508268e+00                 	5.7217224994e-01                 	9.1353226241e-01                 
6.2500000000e+01	1.0053096491e+03	6.3455813969e+00                 	3.6503551863e+00                 	2.6952262106e+00                 	5.7525937467e-01                 	9.0801088286e-01                 
6.3780000000e+01	9.8513410272e+02	6.3466223672e+00                 	3.6672862514e+00                 	2.6793361158e+00                 	5.7783274933e-01                 	9.0347050142e-01                 
6.4670000000e+01	9.7157651263e+02	6.3473239057e+00                 	3.6772036560e+00                 	2.6701202497e+00                 	5.7933133879e-01                 	9.0072725755e-01                 
6.5580000000e+01	9.5809474034e+02	6.3480217672e+00                 	3.6863077586e+00                 	2.6617140086e+00                 	5.8070181449e-01                 	8.9817352323e-01                 
6.6550000000e+01	9.4413002362e+02	6.3487322228e+00                 	3.6939109610e+00                 	2.6548212618e+00                 	5.8183442478e-01                 	8.9594570441e-01                 
6.7600000000e+01	9.2946528213e+02	6.3494180274e+00                 	3.6954849409e+00                 	2.6539330865e+00                 	5.8201947406e-01                 	8.9525005460e-01                 
6.9000000000e+01	9.1060656626e+02	6.3502886381e+00                 	3.6945123760e+00                 	2.6557762621e+00                 	5.8178652760e-01                 	8.9528292161e-01                 
7.0530000000e+01	8.9085287214e+02	6.3512187228e+00                 	3.6924088892e+00                 	2.6588098337e+00                 	5.8137013545e-01                 	8.9568997066e-01                 
7.3000000000e+01	8.6071031605e+02	6.3526957195e+00                 	3.6882226061e+00                 	2.6644731134e+00                 	5.8057598993e-01                 	8.9668422811e-01                 
7.5000000000e+01	8.3775804096e+02	6.3538796089e+00                 	3.6848628106e+00                 	2.6690167984e+00                 	5.7993903526e-01                 	8.9755601944e-01                 
7.6290000000e+01	8.2359225419e+02	6.3546424608e+00                 	3.6834393192e+00                 	2.6712031416e+00                 	5.7964540757e-01                 	8.9794063172e-01                 
8.0000000000e+01	7.8539816340e+02	6.3567672837e+00                 	3.6736115105e+00                 	2.6831557732e+00                 	5.7790561563e-01                 	9.0062138936e-01                 
8.2970000000e+01	7.5728399508e+02	6.3584509360e+00                 	3.6626100981e+00                 	2.6958408379e+00                 	5.7602238893e-01                 	9.0371202704e-01                 
8.5000000000e+01	7.3919827143e+02	6.3596222569e+00                 	3.6566440880e+00                 	2.7029781689e+00                 	5.7497818900e-01                 	9.0546998823e-01                 
8.6800000000e+01	7.2386927502e+02	6.3606594223e+00                 	3.6527095126e+00                 	2.7079499097e+00                 	5.7426585360e-01                 	9.0666199227e-01                 
9.0800000000e+01	6.9198076070e+02	6.3629570129e+00                 	3.6465551362e+00                 	2.7164018767e+00                 	5.7309127326e-01                 	9.0862538670e-01                 
9.5170000000e+01	6.6020650490e+02	6.3654397027e+00                 	3.6417551290e+00                 	2.7236845737e+00                 	5.7211367935e-01                 	9.1025208098e-01                 
1.0000000000e+02	6.2831853072e+02	6.3681493880e+00                 	3.6378180230e+00                 	2.7303313650e+00                 	5.7125199196e-01                 	9.1168332767e-01                 
1.2000000000e+02	5.2359877560e+02	6.3789957593e+00                 	3.6357792266e+00                 	2.7432165327e+00                 	5.6996106657e-01                 	9.1370689208e-01                 
1.5000000000e+02	4.1887902048e+02	6.3941896364e+00                 	3.6424713247e+00                 	2.7517183118e+00                 	5.6965331524e-01                 	9.1386533241e-01                 
1.6700000000e+02	3.7623864115e+02	6.4023277979e+00                 	3.6481804648e+00                 	2.7541473331e+00                 	5.6982094325e-01                 	9.1333935829e-01                 
